Frequency_Hz,PSD_V_P1,PSD_V_P2,PSD_V_P3,PSD_V_P4,PSD_V_P5,PSD_V_P6,PSD_V_P7,PSD_V_P8
7.96875,7.61382998340817e-09,3.15061629572639e-07,9.0114247383386e-07,1.59910821230083e-06,4.75492187532277e-06,2.4590871128135e-06,4.61416970135657e-07,4.49650647789622e-10
8.0859375,7.6545734066079e-09,3.96104878199358e-07,7.05534305663558e-07,2.20184661723885e-06,2.90356251284172e-06,2.3419704655704e-06,4.77886678531134e-07,4.62061211977718e-10
8.203125,7.35796193713848e-09,5.22934875537043e-07,6.10779552805426e-07,2.69520545980862e-06,1.44284570434515e-06,2.24253759712514e-06,4.19307084229474e-07,4.65640446212283e-10
8.3203125,6.88694480873504e-09,6.56041555303168e-07,7.30476951411653e-07,2.8702536578232e-06,9.22097376199714e-07,1.79818524890577e-06,4.33937794815495e-07,4.90292326889227e-10
8.4375,6.17164687115638e-09,7.09765906492862e-07,1.00487946427625e-06,2.82382525878889e-06,1.15416638982013e-06,1.63097670957762e-06,5.82620934932993e-07,5.05292043874313e-10
8.5546875,5.58541635875029e-09,6.51351887947695e-07,1.20674613699772e-06,3.00718038639039e-06,1.81559849910263e-06,1.84771990611524e-06,6.99081129539448e-07,4.22131040759992e-10
8.671875,5.17625640635641e-09,5.4749633029067e-07,1.2340026243512e-06,3.4388419727602e-06,2.79013444323012e-06,1.93884236027502e-06,6.6674336804669e-07,2.97296422348182e-10
8.7890625,4.57124755438757e-09,4.66266860026133e-07,1.05324822819894e-06,3.52304042338336e-06,3.84081706171701e-06,2.18078445808793e-06,5.63305297225529e-07,2.40996511331604e-10
8.90625,4.19526551298248e-09,4.49117705295981e-07,7.86525973509019e-07,3.03573863058673e-06,4.13807336264103e-06,2.89355138140206e-06,4.81223295165589e-07,2.41723047867279e-10
9.0234375,4.45535563628662e-09,4.81282858810114e-07,7.5289202604281e-07,2.48543357863766e-06,3.69139587001124e-06,3.56132228368663e-06,4.26054805349567e-07,2.52284616206329e-10
9.140625,4.91640642326439e-09,4.89726467422201e-07,9.53300201430088e-07,2.57568298460018e-06,3.54168445552142e-06,3.62403743921111e-06,4.22567913486556e-07,2.65560662665177e-10
9.2578125,5.17076681583073e-09,4.54810504607374e-07,1.1941870273072e-06,3.61820251483847e-06,3.83516567481543e-06,3.06056295118785e-06,5.22205233965593e-07,2.70273958159624e-10
9.375,5.06639031202986e-09,4.27336791054996e-07,1.46613701265223e-06,4.96695432225718e-06,3.80496282602929e-06,2.26286485502301e-06,6.87491232490713e-07,2.47041619442736e-10
9.4921875,4.63760835324199e-09,4.80814179025652e-07,1.84930988272739e-06,6.23468566114517e-06,3.79959459322064e-06,1.83880846897932e-06,8.37974199404626e-07,2.16289149702905e-10
9.609375,4.25013573455523e-09,6.35608622240085e-07,2.57616878148841e-06,8.58432677121737e-06,4.84194851156682e-06,2.1770837425366e-06,9.76797873370727e-07,2.22688440036696e-10
9.7265625,4.09152104904481e-09,8.37803248745789e-07,4.64992571147182e-06,1.3138938948621e-05,7.81594329489207e-06,3.23753736633761e-06,1.14977464756384e-06,2.9496192969498e-10
9.84375,3.98863027599818e-09,1.04748938036903e-06,8.91789293164953e-06,1.95125159923013e-05,1.3548154498362e-05,5.00637583296734e-06,1.31184541802368e-06,4.18779237841919e-10
9.9609375,4.04001850533171e-09,1.15846456869443e-06,1.24775623062291e-05,2.40950990693253e-05,1.78884868034001e-05,6.82751053143239e-06,1.32939211450831e-06,4.97652465395826e-10
10.078125,4.44313180534404e-09,1.06538890336525e-06,1.07890324226201e-05,2.18993963851806e-05,1.47834801999911e-05,7.26362775763588e-06,1.17431447605546e-06,4.33070277545448e-10
10.1953125,4.84567656224372e-09,8.87488830814189e-07,5.37778000394672e-06,1.43936364151008e-05,7.79794091655626e-06,6.30250082069972e-06,9.97673662175096e-07,2.81087955249892e-10
10.3125,4.92055493416823e-09,7.35008237366917e-07,1.95889152848035e-06,7.76593540232735e-06,3.76667204176317e-06,5.10254134852126e-06,9.04900474272344e-07,2.1544182651797e-10
10.4296875,4.73952763343884e-09,5.73334586949213e-07,2.07044392778664e-06,4.29972897218999e-06,2.47560889980623e-06,4.02266797153914e-06,8.24120679939036e-07,2.8037952695805e-10
10.546875,4.24283654286575e-09,4.44549431324731e-07,3.37656904165642e-06,2.85483046772829e-06,2.07650796176328e-06,2.98246295908265e-06,6.74365003008549e-07,3.31077731233894e-10
10.6640625,3.51841423084472e-09,3.8540737790107e-07,4.47173397789109e-06,2.09628049961337e-06,2.33372864990519e-06,2.15397009632234e-06,5.1529737598639e-07,3.05353043666415e-10
10.78125,2.95063674705117e-09,3.37925538730209e-07,4.93294834203764e-06,1.62820056699004e-06,2.77238670521394e-06,2.15786984184535e-06,4.51751113126887e-07,2.89785643465956e-10
10.8984375,2.56836388466785e-09,2.83100327588695e-07,4.20755598679518e-06,1.82528389732878e-06,3.14495562658361e-06,3.33455049047374e-06,4.86499781938143e-07,2.88495329300126e-10
