Lag_s,ACF_U_P1,ACF_U_P2,ACF_U_P3,ACF_U_P4,ACF_U_P5,ACF_U_P6,ACF_U_P7,ACF_U_P8
0.533333333333333,-0.011566278912246,-0.107580560992071,0.0395667608719307,0.0150783073918917,-0.0163244767712184,-0.0751101818808131,-0.000276106315326398,-0.0641051727976564
0.566666666666667,-0.00717248020949227,-0.134562832586398,0.074553252128136,-0.00572736930259546,-0.0377221608392578,-0.077320195601315,0.0404583092698369,0.000726241059911056
0.6,-0.00365215337262945,-0.143362778247814,0.036200466280203,0.0769001676217808,-0.102111385379862,-0.0806066609795734,0.0838213875729138,-0.0265939737207931
0.633333333333333,-0.00684318410385307,-0.12470748757148,0.00909227086511268,0.017486830927263,-0.0648422325250936,-0.105023452441614,0.0533681928998329,0.0299829980345503
0.666666666666667,-0.0138668818400982,-0.0839922406798145,-0.0427399236586467,0.00919957296445283,-0.0193593395250878,-0.055960413935567,-0.0304300003839017,0.0220641806603629
0.7,-0.0220026328929703,-0.0676444972090373,0.0401496826145473,0.0532154012923209,0.00826903567717867,-0.0595484547709862,-0.0521454445810513,-0.0268645437701351
0.733333333333333,-0.020961235817059,-0.0541383349438704,0.072503364060839,0.0170830907578624,0.0202143208622568,-0.00256298077255054,-0.0716143849201549,-0.019920491851872
0.766666666666667,-0.0143841384304526,0.0229454502480737,0.0728381511885412,-0.0319775343109404,0.0567501689725499,0.00481573978536819,-0.108455032784271,0.0906863142538712
0.8,-0.00771452287536099,0.0565900148668081,-0.000539351547016534,0.00933689881254897,0.0234821012642743,0.00258108331154125,-0.0651114095974208,-0.0368087776206703
0.833333333333333,-0.00792856754053466,0.0535982936014,0.00224236866208568,-0.00860737906650437,-0.0113170223216014,0.0794577548490376,-0.0509606081286346,0.0344670876164492
0.866666666666667,-0.0154464054006605,0.086905243147856,0.0159940666800021,0.0278119879406513,-0.0210030165554491,0.00118001877886512,-0.0494981853812718,-0.0138742967648535
0.9,-0.0150163305659772,0.0994403242695848,0.120845141623649,-0.0049142794640093,-0.0596319828368351,0.0400329283746761,-0.0812362067414407,0.00725940535027622
0.933333333333333,-0.0136065694940174,0.086849357566678,0.087427280281106,-0.0604346242830665,-0.0306204379764575,0.00380292034097158,-0.0620174265367932,-0.0160233485320611
0.966666666666667,-0.00896272761764858,0.159092820225046,0.115330325854562,-0.0838747814021677,-0.00807313583733067,-0.0172351725235681,-0.048822627003892,-0.0255166241833358
1,-0.0134484341201265,0.172544849630576,0.0536431327962002,0.0178133793639679,-0.100354045191972,0.00765429859796245,-0.0610253740929049,0.0275613967750643
1.03333333333333,-0.00843681648196311,0.0659935335966761,-0.0258818759405073,0.0472421913579134,-0.0723861845346692,0.00383365086759908,-0.0577462294534865,-0.000721373602293606
1.06666666666667,-0.011075135885871,0.0856288149445412,-0.0520931912924271,-0.00790705545602324,-0.05365227070461,0.0234371468559416,-0.0273206360291311,0.0410440938529501
