Lag_s,ACF_V_P1,ACF_V_P2,ACF_V_P3,ACF_V_P4,ACF_V_P5,ACF_V_P6,ACF_V_P7,ACF_V_P8
1.3,-0.0268450034368439,-0.0182456553958605,0.112724227019675,-0.0570674075372053,0.00830935971943865,-0.0270848091710117,-0.076615459836633,0.0383181419091122
1.33333333333333,-0.0294998027592739,-0.0320217189609073,0.0821882918213992,-0.0493578080579464,-0.0261884161296037,0.0974374545146942,-0.0633665027556381,-0.0442336320016973
1.36666666666667,-0.0166748230640839,-0.0481928217706784,0.0898193180802866,-0.0294340272468242,0.0181236423348568,0.0837242518299826,-0.0548631399027258,-0.0248712722289514
1.4,-0.0187342366224621,-0.0461605590880063,0.263149244678644,0.0570123385941805,0.117875497166275,0.157798257349625,-0.0465375910313872,0.0473270184411867
1.43333333333333,-0.0186747339800795,-0.039620645412107,0.126651209420085,-0.0827244696825032,-0.0434818040654765,0.0782612239401356,-0.0145464209760904,0.0150304524601753
1.46666666666667,-0.0214198187349775,-0.0671570253198772,0.147434428763259,-0.0612593603610166,-0.0150627264911288,0.0455245583437647,0.00531502200299116,0.00550269089124939
1.5,-0.0149126950172946,-0.03564473630033,0.127352267033484,-0.0444934835597375,0.0501684266224557,0.0227619903483591,0.0759693380716889,-0.041128248836009
1.53333333333333,-0.0201268529008196,-0.0287852215146819,0.0922954704500574,-0.0404736195993029,-0.0336317944020347,0.0750573935759092,0.0884580649076309,0.0335486905036034
1.56666666666667,-0.019968175157249,-0.054205221125911,0.0450575084857186,-0.0213781293306808,-0.0312250733363728,0.0475214737765179,0.0398023425195876,0.00727897054268453
1.6,-0.0184531487607254,-0.0683813955664638,0.117080260711957,0.146868957043065,0.0889105351019375,0.118264882322485,0.0915627064573191,0.00181011938590934
1.63333333333333,-0.0152839637368232,-0.070058197123107,0.0260228423849008,-0.0122344179672046,-0.0322979936990034,0.0207231857674941,0.106541972567509,-0.0150632876662178
1.66666666666667,-0.0192646425491762,-0.064173770228269,0.0749320293129518,-0.0831365491695495,-0.0371670865157008,0.0221480795764076,0.113129284405331,-0.0182107910721648
1.7,-0.0206467139870126,-0.0794281825929889,0.10617729482557,-0.108518422597983,-0.00381935241083477,-0.0121727526900122,0.0876622952091074,0.0639809408104665
1.73333333333333,-0.0172572616998742,-0.0931381850949021,0.0875828946456307,-0.0651609637064467,0.00822334288633322,0.00792550221293067,0.0748611042204709,-0.0251741039227783
1.76666666666667,-0.0204917304777846,-0.0940000877879063,0.0244888014734784,-0.031591436136772,-0.0435254373695891,-0.0124028875287146,0.0230699548690087,-0.00640850245086701
1.8,-0.023589045411656,-0.0885287488191888,0.10609314486053,0.150129409542366,0.10802387994368,0.0487911751591773,0.0481256900331554,-0.0088813721323624
1.83333333333333,-0.0247045639928468,-0.0931210877308973,-0.0160123013495242,-0.0203470706617536,-0.0446362594467958,-0.0830722870792684,0.0623491647355429,0.0228874241870529
1.86666666666667,-0.0246333207596474,-0.0957487061438274,-0.00622239342128117,-0.061149940082236,0.0335367224154302,-0.0367910600030922,0.0561084294571978,-0.0134998616977327
1.9,-0.0264109729863448,-0.0883685416242629,-0.0108373572076842,-0.0810393540263179,0.0765176201809051,-0.0741174510151998,0.027249472046011,0.00127970884881261
1.93333333333333,-0.0221316946556191,-0.0868822664541175,-0.0487590818993998,-0.0646762233468687,0.0381215270742207,-0.0369560728842518,0.0104998257552984,-0.0713973509045644
1.96666666666667,-0.0223828979793667,-0.0909626447284951,-0.0626569043338879,-0.068971664753019,-0.0482295545132607,-0.0135677416943083,-0.00535496956795293,-0.0460444629667971
2,-0.026853829069479,-0.0936878643604851,0.0228115027180182,0.101525371279698,0.0994420589475125,0.038938300613876,0.00816140807872136,0.0632407599912508
