Frequency_Hz,PSD_U_P1,PSD_U_P2,PSD_U_P3,PSD_U_P4,PSD_U_P5,PSD_U_P6,PSD_U_P7,PSD_U_P8
7.8515625,2.45554568962319e-08,1.30813277206229e-07,3.0595288893811e-07,7.45951236756404e-07,1.36052243970953e-07,2.62159241917421e-07,2.66556865959417e-08,2.29120457238196e-10
7.96875,2.30138235958885e-08,1.64313426838103e-07,4.17506496055468e-07,6.19427628293733e-07,1.13946006746336e-07,2.7540448949604e-07,3.91223070639037e-08,2.90532597066912e-10
8.0859375,2.23087118335554e-08,1.93688272586266e-07,4.94868433980807e-07,5.72446149219083e-07,1.02591353332393e-07,2.65068206998408e-07,5.22824419262332e-08,3.64759824212812e-10
8.203125,2.2127363227389e-08,2.01714905127932e-07,4.99178206951448e-07,6.53646891237485e-07,1.255617429919e-07,2.47573017783629e-07,6.14058515888601e-08,4.08443564166943e-10
8.3203125,2.23266686657672e-08,1.86150754917237e-07,4.08802112519994e-07,6.30229742482181e-07,1.56847686349448e-07,2.43938865269417e-07,7.03382665255796e-08,3.80631131571797e-10
8.4375,2.18113594339939e-08,1.5497792444725e-07,2.50025764031372e-07,4.7373648231958e-07,1.9294832073147e-07,2.58771814607765e-07,7.40990209996673e-08,3.11800604251684e-10
8.5546875,2.00633116191642e-08,1.30474258028531e-07,1.37383819057443e-07,4.21682490081193e-07,2.57808744611984e-07,2.63653576744038e-07,6.60199571950711e-08,2.65406555383621e-10
8.671875,1.81899349548367e-08,1.36993028687728e-07,1.71044303914188e-07,5.44267489960952e-07,3.15223842166273e-07,2.24179215396409e-07,5.26388096463423e-08,2.75036490885517e-10
8.7890625,1.65628827443481e-08,1.73925692561646e-07,3.08530667668206e-07,6.76599239374723e-07,2.91668189103367e-07,1.68569783324669e-07,4.70458992124758e-08,3.55116066757408e-10
8.90625,1.49695438822082e-08,2.21329739274238e-07,4.56170708282635e-07,7.20220664856619e-07,2.36657505765971e-07,1.4436469160912e-07,4.85817833879448e-08,4.44256699754784e-10
9.0234375,1.36084744514784e-08,2.61445470621188e-07,5.52810671363867e-07,6.23680165818958e-07,2.59805253935403e-07,1.51865919361494e-07,4.66447605361842e-08,4.27938382942875e-10
9.140625,1.22916096707048e-08,2.72874836181821e-07,5.53245789723851e-07,3.78417472127672e-07,3.33853301139529e-07,1.78609190920902e-07,4.12602081528332e-08,3.27217659392542e-10
9.2578125,1.09774468225091e-08,2.40265946112216e-07,4.78338923771562e-07,1.87996325202668e-07,3.6922701613625e-07,2.09918275353635e-07,4.01270352861289e-08,2.45413466855197e-10
9.375,9.87292142949165e-09,1.88168002108221e-07,3.7658240773469e-07,1.67598580372631e-07,3.36638597999021e-07,2.39732628851926e-07,4.39291812794915e-08,2.03583763610917e-10
