Lag_s,Correlation_U_P1_P2
-5.76666666666667,0.00143261380452212
-5.73333333333333,0.00349485739218852
-5.7,0.00695907537998947
-5.66666666666667,0.00856358336122423
-5.63333333333333,0.00673998733797202
-5.6,0.00548116617909188
-5.56666666666667,0.00203131591717041
-5.53333333333333,-0.00171671654154682
-5.5,0.00172504890367001
-5.46666666666667,0.00175005469171141
-5.43333333333333,0.00169654028578175
-5.4,0.00293373508701761
-5.36666666666667,0.00387508478251925
-5.33333333333333,0.000170829932050036
-5.3,-0.00732364844714517
-5.26666666666667,-0.0107982780764897
-5.23333333333333,-0.0109760900443878
-5.2,-0.0128316682215007
-5.16666666666667,-0.0152768738488611
-5.13333333333333,-0.0163815157448249
-5.1,-0.0183469309902102
-5.06666666666667,-0.0205016060207249
-5.03333333333333,-0.0204472103078218
-5,-0.0227238783983357
-4.96666666666667,-0.0269105829208769
-4.93333333333333,-0.0285229355130767
-4.9,-0.0241795738946464
-4.86666666666667,-0.0246495962525497
-4.83333333333333,-0.0256531476765876
-4.8,-0.0280266791033623
-4.76666666666667,-0.0268420606200102
-4.73333333333333,-0.0266970351961606
-4.7,-0.0256015321478309
-4.66666666666667,-0.0194519260724657
-4.63333333333333,-0.0161161416871687
-4.6,-0.0167422715343865
-4.56666666666667,-0.0230357109863056
-4.53333333333333,-0.0272791841395347
-4.5,-0.0254976238904927
-4.46666666666667,-0.0204492324948266
-4.43333333333333,-0.016611168628996
-4.4,-0.0211265900218746
-4.36666666666667,-0.0198391579059417
-4.33333333333333,-0.0208840845656986
-4.3,-0.0208636361379407
-4.26666666666667,-0.0270012758425712
-4.23333333333333,-0.0266078655044826
-4.2,-0.0248087260605971
-4.16666666666667,-0.0246175166762444
-4.13333333333333,-0.0236255794106004
-4.1,-0.0210492269643606
-4.06666666666667,-0.0168002999337462
-4.03333333333333,-0.0171087916662284
-4,-0.0181175668911758
-3.96666666666667,-0.0221226060028069
-3.93333333333333,-0.0326953490120397
-3.9,-0.0355980499921883
-3.86666666666667,-0.0297197492325562
-3.83333333333333,-0.0316449901194292
-3.8,-0.0344155990907625
-3.76666666666667,-0.0281028942722654
-3.73333333333333,-0.029339523543122
-3.7,-0.0290899225798954
-3.66666666666667,-0.0295182415400711
-3.63333333333333,-0.0287190731653411
-3.6,-0.0286990576639047
-3.56666666666667,-0.0269726692313968
-3.53333333333333,-0.0296456777099442
-3.5,-0.0319743787374052
-3.46666666666667,-0.0289486681758159
-3.43333333333333,-0.0241859576135424
-3.4,-0.0252795546177838
-3.36666666666667,-0.0272393947828879
-3.33333333333333,-0.0301515922454126
-3.3,-0.0272610110993802
-3.26666666666667,-0.0313043331667029
-3.23333333333333,-0.0305154224795431
-3.2,-0.0293370681660153
-3.16666666666667,-0.0312427026634618
-3.13333333333333,-0.0288096294968909
-3.1,-0.0236674361758843
-3.06666666666667,-0.0223345173657212
-3.03333333333333,-0.0259179664023298
-3,-0.0244669390833366
-2.96666666666667,-0.0282617801373015
-2.93333333333333,-0.0311037908213059
-2.9,-0.0300625511017127
-2.86666666666667,-0.0259927700959067
-2.83333333333333,-0.0316024695434755
-2.8,-0.0275203531698616
-2.76666666666667,-0.0215214807689117
-2.73333333333333,-0.0184190595963376
-2.7,-0.0258660256846301
-2.66666666666667,-0.0164454078901237
-2.63333333333333,-0.0194435406379871
-2.6,-0.0235654888149259
-2.56666666666667,-0.023783453027355
-2.53333333333333,-0.030200105049407
-2.5,-0.022522905499528
-2.46666666666667,-0.0283602170779288
-2.43333333333333,-0.022987745136284
-2.4,-0.0232368461592371
-2.36666666666667,-0.0283607840485927
-2.33333333333333,-0.0285067180911265
-2.3,-0.0196714402613978
-2.26666666666667,-0.0170519588315118
-2.23333333333333,-0.0258733405912675
-2.2,-0.0319527723418566
-2.16666666666667,-0.0366823408945958
-2.13333333333333,-0.0304229547393289
-2.1,-0.0270316683133499
-2.06666666666667,-0.0324834545092576
-2.03333333333333,-0.0275802492851943
-2,-0.0273437957499174
-1.96666666666667,-0.0282123938161417
-1.93333333333333,-0.0282612389353234
-1.9,-0.008836995993713
-1.86666666666667,-0.00238775735179678
-1.83333333333333,-0.00890240664721039
-1.8,-0.0226489617588588
-1.76666666666667,-0.0210380797713472
-1.73333333333333,-0.019017117579038
-1.7,-0.0168567945680566
-1.66666666666667,-0.0225065925839073
-1.63333333333333,-0.00999584135816713
-1.6,-0.0109974263026743
-1.56666666666667,-0.0217808607162007
-1.53333333333333,-0.0194594938734736
-1.5,-0.0191415473080068
-1.46666666666667,-0.0321368903373749
-1.43333333333333,-0.0331249818534247
-1.4,-0.0563841859614668
-1.36666666666667,-0.0964821913614892
-1.33333333333333,-0.120385104082299
-1.3,-0.092208231769611
-1.26666666666667,-0.144799782742614
-1.23333333333333,-0.189307360470457
-1.2,-0.146834259751153
-1.16666666666667,-0.054533085765045
-1.13333333333333,-0.0310755041668792
-1.1,-0.0530966343859412
-1.06666666666667,-0.0456430125089113
-1.03333333333333,-0.033311157418454
-1,0.00366644174892126
-0.966666666666667,0.0351771925973095
-0.933333333333333,0.0312077030569123
-0.9,0.015374877414444
-0.866666666666667,0.0306901853696682
-0.833333333333333,0.0791281796462683
-0.8,0.233824989669351
-0.766666666666667,0.314592892768213
-0.733333333333333,0.234741863064525
-0.7,0.132163867078598
-0.666666666666667,0.274140521841414
-0.633333333333333,0.404238301549283
-0.6,0.338195588343358
-0.566666666666667,0.199026010306264
-0.533333333333333,0.12872786330777
-0.5,0.0784192053309695
-0.466666666666667,0.069902383332673
-0.433333333333333,0.053288704730529
-0.4,0.0355613850791331
-0.366666666666667,-0.000728259903924441
-0.333333333333333,-0.0115865760062979
-0.3,-0.0158775158915787
-0.266666666666667,-0.0188634989627533
-0.233333333333333,-0.0213605172847872
-0.2,-0.0361961956101206
-0.166666666666667,-0.0797861339197026
-0.133333333333333,-0.126208281635904
-0.1,-0.0940481435346826
-0.0666666666666667,-0.0551733665614828
-0.0333333333333333,-0.0442030311236408
0,-0.0391020745323689
0.0333333333333333,0.0282794219603245
0.0666666666666667,0.0209396657753395
0.1,0.010078677047786
0.133333333333333,0.0435565701900623
0.166666666666667,0.129449154206361
0.2,0.163864644935292
0.233333333333333,0.095843389333235
0.266666666666667,0.0406288258241494
0.3,0.0180978137925086
0.333333333333333,0.0266123080992014
0.366666666666667,0.00849273450363708
0.4,0.00751018384298922
0.433333333333333,-0.00622640060902122
0.466666666666667,-0.0264658575029872
0.5,-0.0200821301539114
0.533333333333333,-0.0237389252271577
0.566666666666667,-0.0230569180633759
0.6,-0.0277366060282335
0.633333333333333,-0.0295276789595077
0.666666666666667,-0.0294250313479541
0.7,-0.0294237875428954
0.733333333333333,-0.0263358556188882
0.766666666666667,-0.0193657541185068
0.8,-0.0215624553152236
0.833333333333333,-0.0258668643277894
0.866666666666667,-0.0331038629827371
0.9,-0.0271784345690906
0.933333333333333,-0.0237606134306552
0.966666666666667,-0.0249077072740399
1,-0.0264709311634298
1.03333333333333,-0.0288287953904121
1.06666666666667,-0.0293629146428858
1.1,-0.0296661394998717
1.13333333333333,-0.0311889448207809
1.16666666666667,-0.030206579938652
1.2,-0.0258090158355463
1.23333333333333,-0.0212007720905477
1.26666666666667,-0.0249219462385391
1.3,-0.0232021253595205
1.33333333333333,-0.0229829470249898
1.36666666666667,-0.0242124256681215
1.4,-0.0248426120259529
1.43333333333333,-0.0239988228161221
1.46666666666667,-0.0235935278526261
1.5,-0.0252853521637263
1.53333333333333,-0.0193203963659826
1.56666666666667,-0.0231395475563916
1.6,-0.022450678939755
1.63333333333333,-0.0151425391590065
1.66666666666667,0.00402600086063256
1.7,0.0156399353910758
1.73333333333333,0.0725886581355943
1.76666666666667,0.139113034564041
1.8,0.21024177591267
1.83333333333333,0.248871703351257
1.86666666666667,0.21657420332649
1.9,0.122609777383919
1.93333333333333,0.0605073784986912
1.96666666666667,0.0642628945945894
2,0.047081153774101
2.03333333333333,0.0171067179211385
2.06666666666667,0.0044897325279728
2.1,-0.0202089959980445
2.13333333333333,-0.0320045379116978
2.16666666666667,-0.0343092997922763
2.2,-0.0239603399424898
2.23333333333333,-0.0238628405147478
2.26666666666667,-0.0282419564627251
2.3,-0.0263280927585709
2.33333333333333,-0.0246514005607165
2.36666666666667,-0.0264443630712274
2.4,-0.0280325040918003
2.43333333333333,-0.026020112895206
2.46666666666667,-0.0258750004483442
2.5,-0.029745620123902
2.53333333333333,-0.0275559656925083
2.56666666666667,-0.025439123471671
2.6,-0.0277555777847507
2.63333333333333,-0.02796512684022
2.66666666666667,-0.0257797254735177
2.7,-0.0263904339718925
